ID	TipoDeAlerta	CodigoDelGenerador	Mensaje	FechaDelEvento	FechaDeAlarma	CodigoDelDestinatario	FechaLimite	Importancia	Posponer	UpdatedBy	UpdatedAt
46	8	16	Aprobación de Compra solicitada en 07/13/2023	13/07/2023	13/07/2023	9		1		luizestevo	13/07/2023 22:41:49
47	1	107	Regresar Equipo Alquilado del Pedido No.:107 en 07/14/2023 del Cliente: Alejandro Arango	14/07/2023	17/07/2023	9		1		luizestevo	14/07/2023 6:33:41
48	1	108	Regresar Equipo de Muestra del Pedido No.:108 en 07/14/2023 del Doctor: Abdiel Ortiz	14/07/2023	13/08/2023	9		1		luizestevo	14/07/2023 6:33:56
49	1	103	Follow-up de venda pendiente para Pedido No.: 103 en 07/20/2023 del Cliente: Rosana Estevo	13/07/2023	20/07/2023	9		1		luizestevo	14/07/2023 7:00:36
50	6	103	Pagar regalia referente al Pedido No.: 103 para Doctor: Spider Man en 07/28/2023	13/07/2023	28/07/2023	9		2		Luizestevo	09/04/2023 10:39:04
51	6	109	Pagar regalia referente al Pedido No.: 109 para Doctor: Spider Man en 07/29/2023	14/07/2023	29/07/2023	9		2		luizestevo	14/07/2023 18:33:42
52	6	110	Pagar regalia referente al Pedido No.: 110 para Doctor: Spider Man en 07/29/2023	14/07/2023	29/07/2023	9		2		luizestevo	14/07/2023 18:54:39
53	1	114	Follow-up de venda pendiente para Pedido No.: 114 en 07/21/2023 del Cliente: Rosana Estevo	14/07/2023	21/07/2023	9		1		Luizestevo	08/03/2023 14:41:21
54	1	112	Follow-up de venda pendiente para Pedido No.: 112 en 07/21/2023 del Cliente: Rosana Estevo	14/07/2023	21/07/2023	9		1		luizestevo	14/07/2023 19:34:22
55	8	17	Aprobación de Compra solicitada en 07/19/2023	19/07/2023	19/07/2023	9		1		luizestevo	19/07/2023 9:48:08
56	8	18	Aprobación de Compra solicitada en 07/19/2023	19/07/2023	19/07/2023	9		1		luizestevo	19/07/2023 9:48:11
57	8	19	Aprobación de Compra solicitada en 07/19/2023	19/07/2023	19/07/2023	9		1		luizestevo	19/07/2023 9:48:14
58	8	20	Aprobación de Compra solicitada en 07/19/2023	19/07/2023	19/07/2023	9		1		luizestevo	19/07/2023 9:48:17
59	8	21	Aprobación de Compra solicitada en 07/19/2023	19/07/2023	19/07/2023	9		1		Luizestevo	19/07/2023 9:55:13
60	1	119	Regresar Equipo Alquilado del Pedido No.: 119 en 07/28/2023 del Cliente: Rosana Estevo	28/07/2023	30/07/2023	9		1		Luizestevo	28/07/2023 13:52:54
61	6	114	Pagar regalia referente al Pedido No.: 114 para Doctor: Spider Man en 07/29/2023	14/07/2023	29/07/2023	9		2		Luizestevo	08/03/2023 14:45:57
62	1	127	Follow-up de venda pendiente para Pedido No.: 127 en 08/29/2023 del Cliente: Abdiel Ortiz	22/08/2023	29/08/2023	9		1		Luizestevo	22/08/2023 14:55:04
63	1	130	Follow-up de venda pendiente para Pedido No.: 130 en 08/30/2023 del Cliente: Abdiel Ortiz	23/08/2023	30/08/2023	9		1		Luizestevo	23/08/2023 22:50:40
64	1	132	Follow-up de venda pendiente para Pedido No.: 132 en 08/31/2023 del Cliente: Abdiel Ortiz	24/08/2023	31/08/2023	9		1		Luizestevo	24/08/2023 11:48:05
65	1	133	Regresar Equipo de Muestra del Pedido No.: 133 en 08/24/2023 del Doctor: Bolovar Franco	24/08/2023	23/09/2023	2		1		luizestevo	24/08/2023 13:21:19
66	1	135	Regresar Equipo Alquilado del Pedido No.: 135 en 08/24/2023 del Cliente: Bat Man	24/08/2023	24/08/2023	1		1		luizestevo	24/08/2023 13:25:33
67	1	136	Follow-up de venda pendiente para Pedido No.: 136 en 08/31/2023 del Cliente: Bat Man	24/08/2023	31/08/2023	3		1		luizestevo	24/08/2023 13:28:36
68	4	136	Cobro pendiente para Pedido No.:136 en 08/24/2023 del Cliente: Donald Duck	24/08/2023	29/08/2023	3		2		luizestevo	24/08/2023 13:29:08
69	1	138	Follow-up de venda pendiente para Pedido No.: 138 en 08/31/2023 del Cliente: Cristian Rodriguez	24/08/2023	31/08/2023	2		1		luizestevo	24/08/2023 13:40:25
70	1	139	Follow-up de venda pendiente para Pedido No.: 139 en 08/31/2023 del Cliente: Aldymarina Lopez	24/08/2023	31/08/2023	9		1		luizestevo	24/08/2023 14:07:24
