String ID	String Data	StringDataSpanish	StringDataEnglish
41	El pedido de compra debe contener elementos de línea completos antes de que pueda aprobarse	El pedido de compra debe contener elementos de línea completos antes de que pueda aprobarse\r\nEl pedido de compra debe contener elementos de línea completos antes de que pueda aprobarse	Purchase order must contain completed line items before it can be approved
42	Lo siento, no tienes permiso para aprobar el pedido.	Lociento, no tienes permiso para aprobar el pedido.	Sorry, you do not have permission to approve purchases.
43	Compra aprobada con éxito	Compra aprobada con éxito	Purchase successfully approved
44	No se puede aprobar la compra.	No se puede aprobar la compra.\r\nNo se puede aprobar la compra	Purchase cannot be approved
45	Compra enviada correctamente para su aprobación.	Compra enviada correctamente para su aprobación	Purchase successfully submitted for approval
46	No se puede enviar la compra para su aprobación.	No se puede enviar la compra para su aprobación.	Purchase cannot be submitted for approval
47	Lo sentimos, la orden de compra no contiene items.	Lo sentimos, la orden de compra no contiene elementos de línea.\r\nLo sentimos, la orden de compra no contiene elementos de línea	Sorry, purchase order does not contain line items
48	¿Quieres cancelar este pedido?	¿Quieres cancelar este pedido?\r\n¿Quieres cancelar este pedido?\r\n¿Quieres cancelar este pedido?\r\n¿Quieres cancelar este pedido?	Do you want to cancel this order?
49	Cancelar un pedido eliminará permanentemente el pedido. ¿Estas seguro que quieres cancelar?	Cancelar un pedido eliminará permanentemente el pedido. ¿Estas seguro que quieres cancelar?	Canceling an order will permanently delete the order.  Are you sure you want to cancel?
100	Su pedido fue cancelado exitosamente.	Su pedido fue cancelado exitosamente\r\nSu pedido fue cancelado con éxito.	Your order was successfully canceled.
101	No se puede cancelar un pedido que tiene artículos recibidos y registrados en el inventario.	No se puede cancelar un pedido que tiene artículos recibidos y registrados en el inventario.	Cannot cancel an order that has items received and posted to inventory.
102	Se ha producido un error al intentar cancelar este pedido.	Se ha producido un error al intentar cancelar este pedido\r\nSe ha producido un error al intentar cancelar este pedido.\r\nSe ha producido un error al intentar cancelar este pedido.	There was an error trying to cancel this order.
103	La factura de este pedido aun no se ha creado.	La factura de este pedido aun no se ha creado.	The invoice for this order has not yet been created.
104	La información de envío no está completa. Especifique toda la información de envío y vuelva a intentarlo.	La información de envío no está completa. Especifique toda la información de envío y vuelva a intentarlo.	Shipping information is not complete.  Please specify all shipping information and try again.
105	No se puede marcar pedido como enviado. Primero el pedido debe ser facturado.	La información de envío no está completa. Especifique toda la información de envío y vuelva a intentarlo.	Cannot mark as shipped.  Order must first be invoiced!
106	¡No se puede cancelar un pedido que ya se ha enviado!	¡No se puede cancelar un pedido que ya se ha enviado!	Cannot cancel an order that has already shipped!
107	Primero debe especificar el vendedor.	Primero debe especificar el vendedor	Must first specify salesperson!
108	El pedido se marco como finalizado.	El pedido no se marco como cerrado.	Order is now marked closed.
109	El pedido debe marcarse como enviado antes de finalizarlo.	El pedido debe marcarse como enviado antes de cerrarlo	Order must first be marked shipped before closing.
110	Primero debe especificar la informacion de pago.	Primero debe especificar la informacion de pago	Must first specify payment information!
111	Hubo un error al intentar reabasteser los niveles de inventario. | Los productos se reabastecieron con éxito.	Hubo un error al intentar reabasteser los niveles de inventario. Los productos se reabastecieron con éxito.\r\nHubo un error al intentar reabastecer los niveles de inventario. los productos se reabastecieron con éxito.	There was an error attempting to restock inventory levels.  | product(s) were successfully restocked.
112	Debe proporcionar un costo unitario.	Debe proporcionar un costo unitario	You must supply a Unit Cost.
113	Rellene el producto solicitado, N.º de pedido.	Rellene el producto solicitado, N.º de pedido.	Fill back ordered product, Order #|
